Vehicle_ID,Pre_Accident_Value,Cost_of_repair,odometer,engine_displacement,Damage_Type,make_nm,model_nm,fuel_type,Age,Sale_Price
2620,3927,8403.4,111132,1124,Front End,Citroen,C2,Petrol,10,525
3024,3299.989,4502.4,153824,1596,Rear End,Ford,Fiesta,Petrol,11,1100
1013,4403,3377,116209,999,Front End,FIAT,Grande Punto,Petrol,10,1550
521,5200.062,7102,177151,1461,Front End,Renault,Megane,Diesel,7,2350
2233,3899.987,9831.9,155190,1591,Side,Kia,Cee'd,Petrol,9,1700
405,12599.958,10259,207830,2967,Front End,Audi,A5,Diesel,9,7900
321,4700.024,6895.7,141975,1248,Side,Opel,Corsa,Diesel,10,1900
2794,10115,10500,51834,1329,Hail,Toyota,Yaris,Petrol,6,3250
3088,4284,7395,163184,1368,Front End,FIAT,Grande Punto,Petrol,9,625
2127,4450.005,6400,130606,1591,Front End,Kia,Cee'd,Petrol,10,3250
963,3570,2032,128862,998,Rear End,Toyota,Aygo,Petrol,9,1550
620,11250.022,12497.6,99364,1956,Side,Opel,Insignia,Diesel,6,6000
2850,20672.3,9549,11657,1498,Side,Volkswagen,Golf VII Variant,Petrol,0,8100
2768,8092,9790.4,117490,1595,Front End,Seat,Exeo,Petrol,8,2100
1860,6320.447,9894.1,26584,1242,Front End,Ford,Fiesta,Petrol,7,1750
357,5283.333333,17750,90321,1968,Front End,Volkswagen,T5 Transporter,Diesel,6,4700
2580,5355,7142.9,156059,1834,Rear End,Mitsubishi,Carisma,Petrol,14,325
217,6842.5,12605,213720,1560,Front End,Mini,Cooper,Diesel,10,1750
922,7854,14320.7,223884,1896,Side,Volkswagen,Touran,Diesel,8,1950
1910,7616,3451.5,131894,1596,Front End,BMW,1,Petrol,12,2450
3089,3391.5,4157.7,94922,1396,Front End,Hyundai,i30,Petrol,7,1700
799,5500.061,3595.5,205131,2720,Front End,Citroen,C5,Diesel,10,2300
1917,5300.022,4874.8,101310,1229,Front End,Opel,Corsa D,Petrol,8,2200
2941,17850,10277.8,57989,1395,Hail,Audi,A3,Petrol,5,6900
2863,6290.444125,5074.7,65774,1242,Side,Ford,Fiesta,Petrol,6,2450
2046,5526.0149,7723.1,187244,1390,Front End,Skoda,Fabia,Petrol,7,1450
2755,12499.998,11241.8,45441,1197,Front End,Dacia,Duster,Petrol,3,6700
2958,10950.023,6812.8,30318,1368,Front End,Hyundai,i20,Petrol,3,4150
2116,7499.975,8149.2,58531,1248,Front End,Hyundai,i20,Petrol,4,2950
2272,8250.032,14386.5,10128,999,Front End,Seat,Mii,Petrol,2,1200
2660,5756.149,4632,208754,1798,Rear End,Volkswagen,PASSAT Variant,Petrol,9,3050
190,8925,10300,138980,1896,Front End,Volkswagen,Sharan,Diesel,12,2600
769,8687,7827,120343,1461,Hail,Dacia,Duster,Diesel,6,4200
1308,4843.74625,3284.7,112181,1586,Side,Suzuki,Sx4,Petrol,9,3350
2535,11750.06,11222.3,14020,1364,Front End,Opel,Corsa,Petrol,2,3650
1341,10710,11327.3,125479,1390,Front End,Volkswagen,Touran,Petrol,8,2200
173,7307.661538,15755.2,70151,1598,Side,Volkswagen,Golf,Diesel,3,5800
1104,3294.8,11412,80739,1390,Side,Skoda,Roomster,Petrol,8,1550
2665,3049.97,7145.5,165659,1598,Front End,Opel,Meriva,Petrol,12,1350
390,18900.056,25210.1,79603,1968,Front End,Volkswagen,Tiguan,Diesel,4,6000
453,3899.987,2869.4,214882,2148,Front End,Mercedes-Benz,C,Diesel,14,1800
2350,27370,11367.6,1186,999,Front End,Ford,Grand C-Max,Petrol,0,7200
2454,11300.002,11423,85489,1197,Front End,Skoda,Octavia,Petrol,5,4300
2981,13804,25210.1,79673,1596,Front End,Ford,Focus,Petrol,6,1600
442,5134.017,8422,236050,1997,Front End,Citroen,C5,Diesel,7,3700
367,5252.1,6480.9,112919,1398,Front End,Peugeot,207,Diesel,7,1750
2241,3212.0004,4376.4,50809,998,Front End,Toyota,Aygo,Petrol,9,2200
2158,4687.5052,10054.5,102773,1598,Rear End,Seat,Ibiza,Petrol,6,3550
1540,3808,8561.5,209196,1390,Rear End,Volkswagen,Polo,Petrol,11,1300
2650,7700.014,8443.6,114887,1995,All Over,BMW,3er,Petrol,10,3050
103,8067.2,9821.8,94257,1995,Front End,Opel,Vivaro,Diesel,4,4100
3058,9400.048,8111.1,162358,2497,Side,BMW,5,Petrol,12,3050
467,14243.7,25730.2,37650,1461,Side,Renault,Clio IV Grandtour,Diesel,1,2600
2275,42249.998,6606.8,52354,1149,Front End,Dacia,Sandero,Petrol,6,1350
157,10591,6074.6,254291,1968,Side,Volkswagen,Passat,Diesel,7,6400
127,19575.5,13932.4,70770,1968,Front End,Seat,Leon,Diesel,2,6100
193,6783,5739.3,235701,1968,Front End,Skoda,Octavia,Diesel,10,3150
2567,9066.6576,11523.8,51591,1197,Side,Skoda,Rapid Spaceback,Petrol,4,5700
949,3927,3776,150024,999,Rear End,Skoda,Fabia,Petrol,10,1700
2448,4799.984,5378.3,86997,1390,Front End,Seat,Ibiza SC,Petrol,9,1400
1083,5831,5405.6,64700,998,All Over,Opel,Corsa,Petrol,8,1900
2223,2999.99,4308.1,194351,998,Rear End,Toyota,Aygo,Petrol,11,1050
1612,8984.5,6831.9,191759,1798,Side,Volkswagen,Passat,Petrol,9,2800
2613,4600.064,4788.6,74296,1242,Front End,Ford,Ka,Petrol,9,1900
2411,7794.5,20515,59085,1242,Rear End,FIAT,500,Petrol,7,1750
289,6069,10251.1,222251,2720,Front End,Jaguar,S-Type,Diesel,12,1600
2884,5890.5,3343,112182,1198,Front End,Volkswagen,Polo V,Petrol,8,2550
2166,5900.02,4983.3,72669,1242,Front End,Ford,Ka,Petrol,5,1600
47,8092,15966,201376,999,Front End,Volkswagen,Passat,Diesel,9,1950
808,12138,15500,161459,1995,Hail,BMW,X3,Diesel,10,4850
2184,18599.938,17587.4,8618,1389,Front End,Opel,Mokka,Petrol,2,7500
1116,10710,8206.2,69249,1796,Front End,Mercedes-Benz,C,Petrol,10,3400
138,3808,3367,192501,1461,Side,Renault,Megane Grandt. Ii,Diesel,11,725
2671,12499.998,10910.5,142933,1390,Rear End,Volkswagen,Touran,Petrol,8,5700
1171,4663.6933,14684.2,56388,1699,Front End,Mercedes-Benz,A,Petrol,11,2050
1233,9401,8576.3,20701,1198,Side,Volkswagen,Polo,Petrol,7,2750
2583,14161,15000,6125,1398,Hail,Opel,Corsa,Petrol,1,4400
91,5236,4412.2,203347,1686,Rear End,Opel,Astra,Diesel,8,2150
2186,6895.178947,5221.9,16539,1399,Front End,Opel,Astra,Petrol,0,5700
2676,6800.017,14705.9,202506,2171,Front End,BMW,520,Petrol,13,2650
2798,2975,9243.7,144464,998,Front End,Toyota,Aygo,Petrol,11,725
308,3999.947,4984.4,185604,1896,Rear End,Seat,Toledo,Diesel,12,1400
1514,5749.961,4888.7,115905,1242,Front End,Ford,Fiesta,Petrol,7,1750
902,13999.993,14157.9,58670,1598,Side,Volkswagen,Touran,Diesel,6,6700
3066,3148.994118,6932.9,8202,1498,Front End,Ford,Focus Turnier,Petrol,0,3000
1242,5831,2803.3,187151,1749,Front End,Citroen,C4,Petrol,10,3150
2090,2900.03,2830.4,157800,998,Rear End,Toyota,Aygo,Petrol,9,975
1166,3451,5566.6,127047,1587,Side,Citroen,C3,Petrol,10,1500
1607,24499.958,23818.8,6170,1395,Front End,Audi,Q2,Petrol,0,10100
418,9500.008,5939.7,154172,2993,Undercarriage,BMW,3er  Touring,Diesel,11,3850
2751,12971,12500,53219,1364,Hail,Opel,Astra,Petrol,7,3650
867,6500.018,19690,126686,1992,All Over,Mercedes-Benz,B-Klasse,Diesel,11,850
1184,13685,13830,6250,999,Front End,Opel,Karl,Petrol,1,4200
415,5676.062,6962.5,225709,1968,Side,Volkswagen,Passat,Diesel,13,1550
684,24844.82,21737.5,91681,1995,Water/Flood,BMW,3er,Diesel,5,13200
2831,5625,4593.7,187389,1998,Front End,Nissan,X-Trail,Petrol,15,1550
2408,5000.023,7186.4,82698,1229,Front End,Opel,Corsa D,Petrol,10,1950
1839,12199.999,13282.6,43971,1197,Front End,Skoda,Rapid,Petrol,4,4850
644,16120.44444,6541.2,16273,1598,Front End,Audi,A3,Diesel,0,8800
2861,3899.987,7332.3,77255,1339,Side,Honda,Jazz,Petrol,13,1750
2558,22500.044,15838.4,38774,1390,Front End,Volkswagen,Touran,Petrol,3,8500
944,15351,12684,29303,999,Top/Roof,Hyundai,ix20,Petrol,4,4650
1275,4109.0105,5930.9,86286,1796,Front End,Mercedes-Benz,C,Petrol,14,2050
1359,8925,7761.9,78243,1598,Front End,Renault,Megane Scenic,Petrol,6,2800
1497,11162.94859,4816.3,212898,1998,Side,Mercedes-Benz,C,Petrol,15,1050
1028,7378,7000.8,71547,1242,Rear End,Ford,Fiesta,Petrol,7,3700
2464,3250.009,4927.7,98372,996,All Over,Nissan,Pixo,Petrol,8,1500
1407,6069,5248.2,87149,1149,Front End,Renault,Twingo,Petrol,4,1600
1920,4899.944,5920.2,96412,1364,Front End,Opel,Astra H GTC,Petrol,10,1100
553,6399.939,4933.9,142809,1248,Side,Opel,Astra J Sports Tourer,Diesel,7,1800
1379,3299.989,2038.8,151744,1149,Side,Renault,Twingo,Petrol,7,1100
740,5500.061,5577.2,120985,1560,Front End,Peugeot,207 SW,Diesel,6,2400
779,10710,12350,149954,1685,Front End,Hyundai,i40,Diesel,7,4750
928,7080.5,6599.7,147753,1497,Hail,Toyota,Prius,Hybrid Engine,10,3750
1136,3570,6927,95150,998,Rear End,Toyota,Yaris,Petrol,12,1200
2894,8270.5,9908,142123,2488,Rear End,Nissan,X-Trail,Petrol,13,2400
2745,4109.618182,7432.1,21844,1197,Front End,Skoda,Fabia,Petrol,6,1950
773,6200.019,9159.7,181599,1560,Side,Peugeot,308 SW,Diesel,7,2750
1111,4879,5715.3,52807,1149,Front End,Renault,Clio Iii,Petrol,12,1400
1824,5600.021,9864.4,116783,1364,Rear End,Opel,Astra,Petrol,10,2600
956,5474,2802.5,83957,998,Side,Toyota,Aygo,Petrol,8,1800
911,5771.5,10504.2,187051,1896,Front End,Volkswagen,Golf V,Diesel,12,1450
3080,14280,10494,5229,1199,Hail,Peugeot,108 TOP,Petrol,1,6500
2747,5890.5,6073.7,139179,1242,Side,Ford,Fiesta,Petrol,9,1850
1733,4350.045,3550.8,97822,1364,Front End,Opel,Astra,Petrol,14,1650
263,7473.2,6600.3,145098,1870,Front End,Renault,Scenic Ii,Diesel,9,1600
1909,8500.051,6264.7,197308,2497,Side,BMW,5,Petrol,12,3750
2872,3699.948,6000,113663,1349,Front End,Mazda,2,Petrol,9,1950
925,6545,5673.5,278877,1968,Side,Volkswagen,Passat Variant,Diesel,12,2000
1525,6069,12000,50016,1124,Rear End,Mitsubishi,Colt,Petrol,6,1150
815,35294.1,17621.1,5409,1968,Side,Audi,A4,Diesel,0,13700
946,924.987,3382,155539,999,Front End,Hyundai,Getz,Petrol,12,400
2305,3750.047,2086.4,159599,1229,Front End,Opel,Corsa D,Petrol,9,1700
1417,6251.502727,8222.3,93955,1596,Front End,Ford,Focus,Petrol,7,1600
2134,5399.982,5715.4,64492,1149,Front End,Renault,Twingo Ii,Petrol,6,2150
2230,4299.946,4893.2,166737,1390,Rear End,Volkswagen,Golf,Petrol,11,1800
2378,7199.976,10577,102974,1595,Front End,Audi,A3,Petrol,10,2100
291,7973,8033.8,188708,1800,Front End,Audi,TT,Diesel,17,1300
335,2999.99,3735.4,147505,1248,Front End,Opel,Astra H Caravan,Diesel,11,1650
319,10084,4587.2,159938,1896,Rear End,Volkswagen,T5,Diesel,8,6000
561,5999.98,13445.4,175412,1968,Side,Audi,A3,Diesel,12,1950
1367,9163,7159.5,11072,1248,Front End,Hyundai,i20,Petrol,3,4300
2843,5831,4386.8,25184,999,Front End,Smart,Fortwo,Petrol,9,1400
1372,8092,4537.1,46537,1198,Rear End,Nissan,Micra,Petrol,5,3200
1267,4760,2095.3,190710,1798,Side,Mazda,5,Petrol,12,1900
1549,2975,7142.9,243206,1198,Side,Skoda,Fabia,Petrol,8,1550
106,14200.032,21818,88095,999,Side,Skoda,Octavia,Diesel,6,3850
1696,3500.028,5882.4,84223,1198,Top/Roof,Volkswagen,Fox,Petrol,9,900
1210,6545,6742.7,69817,1229,Front End,Opel,Corsa,Petrol,7,2500
812,12733,13456.7,104576,1896,Front End,Audi,A3,Diesel,9,3150
2672,14875,12500,63299,1395,Front End,Seat,Leon,Petrol,4,3100
673,6100.059,15000,224903,1997,Water/Flood,Ford,S-Max,Diesel,10,2100
1006,6249.999,6337,64328,999,Front End,Hyundai,i30,Petrol,6,3300
3026,19968.795,9450.1,71487,1499,Hail,BMW,Mini Cooper,Petrol,3,8100
3027,5699.981,4313,20999,1198,Front End,Volkswagen,Polo IV,Petrol,9,1750
2337,12499.998,15283,16199,1364,Front End,Opel,Corsa,Petrol,3,4050
1818,6899.977,9528.9,103242,1596,Front End,Ford,Focus,Petrol,8,2400
1803,6699.938,6229.7,149563,1995,Side,BMW,1er,Petrol,11,3250
2382,6100.059,6791.2,123714,1390,Side,Volkswagen,Golf VI,Petrol,10,2850
1510,4687.5052,10054.5,102773,1598,Rear End,Seat,Ibiza,Petrol,6,3300
712,18266.5,21169.7,110414,1968,Front End,Volkswagen,Passat Variant,Diesel,4,5700
1536,5593,4530.3,108120,1796,Rear End,Opel,Astra,Petrol,13,1550
630,8999.97,13422.5,74687,2685,Side,Mercedes-Benz,211 K T-MODELL,Diesel,15,3550
609,7735,6326.1,166264,1995,Hail,BMW,1,Diesel,11,2700
1825,5200.062,4786.4,166166,1596,Undercarriage,BMW,1,Petrol,12,2650
2417,3850.007,4274.2,127630,999,Front End,Smart,fortwo coupe,Petrol,9,1450
1965,5355,8655.5,136573,1598,Rear End,Mini,Cooper,Petrol,14,1650
2036,4899.944,5764.5,87787,1229,Front End,Opel,Corsa,Petrol,11,875
971,24038,13752,900,999,Front End,Opel,Mokka,Petrol,1,8700
711,5126.182833,5166.2,205399,1997,Front End,Ford,S-Max,Diesel,7,4800
380,16065,10040.8,29251,1461,Rear End,Dacia,Duster,Diesel,5,5800
1324,6069,2121.8,115401,1595,Front End,Volkswagen,Golf,Petrol,12,1750
1317,4284.935,6064.2,103657,1397,Side,Peugeot,207,Petrol,8,1900
878,3349.969,3862.4,159469,1991,Rear End,Chevrolet,Lacetti,Diesel,10,975
2638,2975,2331.7,137494,1388,Front End,Ford,Fiesta,Petrol,12,900
2149,18067.2,11334,11000,999,Side,Volkswagen,Golf,Petrol,0,8700
869,7259,21008.4,226499,1997,Rear End,Ford,Focus,Diesel,6,1200
2602,14874,4427.1,14211,998,Front End,Ford,Fiesta,Petrol,0,5500
1515,4799.984,5305.9,56669,1360,Rear End,Peugeot,207,Petrol,8,1850
1310,3528.49875,5882.4,166085,1796,Front End,Opel,Astra,Petrol,11,1700
1446,7497,15150,63463,1390,Side,Volkswagen,Polo,Petrol,9,1350
119,3927,3222.1,162166,1493,Side,Hyundai,Getz,Diesel,10,975
1397,7378,8100,71757,1598,Side,Chevrolet,Cruze,Petrol,8,2800
2982,26180,50000,2768,1395,Front End,Seat,Leon,Petrol,1,5200
3053,6249.999,4061.3,63973,1242,Front End,Ford,Fiesta,Petrol,7,1900
1871,5999.98,18826,213130,2034,Side,Mercedes-Benz,B,Petrol,11,1450
1177,11186,8432,72771,999,Front End,Volvo,C30,Petrol,8,3900
1812,2699.991,4501.8,138586,1328,Front End,Suzuki,Swift,Petrol,11,1150
1424,2647.75,3033.5,154784,1198,Rear End,Volkswagen,Polo,Petrol,14,950
610,9700.047,7105.3,34903,1560,Side,Ford,Focus,Diesel,7,4600
375,9200.009,6378,157045,1968,Front End,Volkswagen,Passat Variant,Diesel,8,4350
1946,7641.057143,17845,11848,1368,Front End,Jeep,Renegade,Petrol,1,6000
213,2320.5,8791.4,190122,1582,Rear End,Kia,Cee'd,Diesel,8,2050
55,9163,11700,89074,1997,Front End,Peugeot,407,Diesel,9,1950
1468,4879,4838,68143,1149,Front End,Renault,Twingo,Petrol,8,1650
164,4495.765077,5815.5,157080,1896,Front End,Volkswagen,Golf,Diesel,11,1700
571,12605,5806.9,18947,1422,Front End,Volkswagen,Polo,Diesel,1,6300
1253,3272.5,4441,210946,999,Rear End,Seat,Ibiza,Petrol,11,700
2423,8032.5,9500,39892,1397,Hail,Peugeot,207,Petrol,7,1700
1938,2850.05,2529.9,158406,1598,Front End,Toyota,Corolla Kombi,Petrol,13,1700
2004,6580.7,8607.7,25643,1390,Front End,Volkswagen,Jetta V,Petrol,10,2350
2608,25630.2,15787.6,11345,1395,Rear End,Skoda,Superb,Petrol,0,11600
675,10199.966,12489.5,77325,1870,Front End,Renault,Scenic Iii,Diesel,7,2550
2221,8800.05,5027.7,14964,1396,Side,Hyundai,i30,Petrol,6,4050
1394,4284,4505.9,211330,1598,Rear End,Audi,A3,Petrol,13,2200
2390,14280,8557.6,58348,1197,Hail,Seat,Leon,Petrol,5,4750
2501,19327.7,20143.4,13135,1399,Rear End,Opel,Astra,Petrol,0,5400
2243,5900.02,7408.9,45376,1198,Front End,Volkswagen,Polo IV,Petrol,9,2500
2402,14800.03,8565.6,12258,998,Side,Opel,Astra,Petrol,2,9700
2897,15950.046,16024.4,67986,1395,Front End,Volkswagen,Golf VII,Petrol,5,8300
206,6079.407091,6675.9,170611,1686,Rear End,Opel,Astra,Diesel,7,2250
2436,6800.017,5789.8,81399,1984,Top/Roof,Audi,A4,Petrol,13,3350
1261,8449,8695.2,58316,1198,Side,Volkswagen,Polo,Petrol,7,3400
541,11500.041,11534.2,144931,1968,Front End,Volkswagen,Golf VI,Diesel,6,4650
1994,3899.987,2969.7,127140,998,Front End,Toyota,Yaris,Petrol,11,1850
2968,27310.9,20330.4,14493,1595,Side,Mercedes-Benz,C 180,Petrol,0,11700
1034,10531.5,5954.9,16116,1242,Side,Suzuki,Splash,Petrol,6,3200
1450,3340.0775,2518.2,15573,1398,Side,Opel,Corsa,Petrol,1,1600
1608,12852,13571.8,120295,1390,Rollover,Skoda,Octavia,Petrol,6,1500
1556,13699.994,37815,53710,999,Front End,Ford,Focus,Petrol,2,2400
451,20672.3,8904.4,15968,1968,Side,Volkswagen,Golf,Diesel,1,9100
214,14637,12940.1,222471,2993,Front End,BMW,X5,Diesel,11,5900
3072,2796.5,5196.2,176936,1598,Side,Opel,Meriva,Petrol,15,850
1173,8092,15550,82065,1198,Front End,Honda,Jazz,Petrol,7,1850
517,18499.978,10532.4,70278,1968,Side,Skoda,Superb,Diesel,3,10000
2009,7973,4654.5,142533,1390,Front End,Volkswagen,Golf,Petrol,8,3150
568,8000.013,30400,98849,1686,Front End,Opel,Astra J Sports Tourer,Diesel,5,1700
2594,3800.027,6700,147108,1198,Front End,Skoda,Fabia,Petrol,8,800
229,5346.960417,5715.2,62731,1461,Front End,Dacia,Logan,Diesel,3,3550
1373,7675.5,3832.1,111992,1198,Rear End,Honda,Jazz,Petrol,5,4300
2124,4499.985,5750,135686,1598,All Over,Mini,Mini One,Petrol,12,1550
30,4899.944,7041,255644,999,Front End,Audi,A3,Diesel,11,2450
2360,3500.028,8700,176884,1595,Front End,Audi,A3,Petrol,15,1000
664,5850.04,6813.3,156964,1896,Side,Volkswagen,Golf V,Diesel,9,2200
279,6902,7524,99730,1991,Front End,Hyundai,i30,Diesel,10,1950
1604,10115,9619.9,135927,1598,Front End,Opel,Zafira,Petrol,5,4100
2779,9629.48,12353.3,121051,2359,Front End,Jeep,Compass,Petrol,10,2450
895,4641,9473.6,305498,2967,Front End,Volkswagen,Phaeton,Diesel,13,1700
606,1566.674667,1561.4,159861,1598,Rear End,FIAT,Bravo,Diesel,9,1450
2754,6188,7900,83139,1690,Hail,Lada,Niva,Petrol,8,1800
331,3899.987,5434.3,172187,1560,Rear End,Peugeot,207,Diesel,10,2350
2937,2700,5000,179873,1796,All Over,MGF,Rover,Petrol,20,775
2074,16638.7,4257.2,26888,1364,All Over,Opel,Mokka,Petrol,1,8400
862,3733.3275,1975.3,210518,1560,Front End,Ford,Focus,Diesel,13,575
1127,10829,10634.6,101747,1390,Front End,Volkswagen,Golf,Petrol,8,3100
1596,13685,9048.4,5423,1248,Side,Hyundai,i10,Petrol,1,6200
161,27251,12051.9,111052,2967,Front End,Audi,A6,Diesel,5,13700
1908,5500.061,9021,134315,1598,Front End,Opel,Astra,Petrol,8,1650
990,5000.340333,11000.3,68035,1242,Side,FIAT,500,Petrol,8,3150
110,6545,1763,118907,1399,Hail,Ford,Fiesta,Diesel,6,3900
1636,7735,6206.2,78044,1198,Front End,Skoda,Fabia,Petrol,5,2450
262,10353,7706.1,135109,1995,Front End,BMW,3,Diesel,9,4100
248,9758,13529.4,184836,2987,Front End,Mercedes-Benz,E,Diesel,10,4450
2668,18340.3,17628.9,18586,1197,Side,Nissan,Qashqai,Petrol,0,9000
379,4499.985,6036.9,179592,1998,Front End,Mazda,5,Diesel,10,1050
2147,16806.7,28343.6,19565,1364,Front End,Opel,Mokka,Petrol,1,4100
222,8925,9593.7,85096,1991,Side,Mercedes-Benz,A,Diesel,9,2900
1156,11007.5,12500,24173,1390,Side,Volkswagen,Golf,Petrol,8,3700
1667,8500.051,5506.9,36985,998,Front End,Ford,Fiesta,Petrol,4,4350
410,5799.941,10185,205204,2148,Front End,Mercedes-Benz,C-Klasse T-Modell,Diesel,12,1800
2343,2900.03,2989.6,174521,1781,Front End,Audi,A3,Petrol,16,1550
1259,6426,7414.4,122494,2198,Rear End,Opel,Signum,Petrol,11,1950
2393,12700.037,12471.1,26099,1396,Front End,Kia,Venga,Petrol,2,7100
1764,13000.036,19327.7,86148,1796,Front End,Mercedes-Benz,E-Klasse,Petrol,9,4250
2478,10504.2,11615.5,6654,999,Front End,Skoda,Fabia,Petrol,0,3800
1473,10829,9978.4,78925,1798,Front End,Seat,Leon,Petrol,8,2150
2254,3500.028,8700,176884,1595,Front End,Audi,A3,Petrol,15,1150
2610,5831,4791.1,61592,999,Rear End,Smart,fortwo coupe,Petrol,10,1350
1971,4899.944,3806.7,143947,1390,Side,Seat,Ibiza,Petrol,7,3100
216,14161,8240.2,23825,1248,Rear End,FIAT,Panda,Diesel,4,6300
1200,8211,6808.3,49274,1149,Rear End,Renault,Twingo,Petrol,5,2300
283,10591,9034.8,49062,1120,Front End,Hyundai,i20,Diesel,4,2500
1655,4499.985,7301.9,137344,1699,Side,Mercedes-Benz,A,Petrol,14,2250
3012,9500.008,15283.7,88889,2035,Side,Mercedes-Benz,B-Klasse,Petrol,11,2600
522,9500.008,9273.6,57583,1686,Front End,Opel,Meriva,Diesel,7,2900
371,7735,6326.1,166264,1995,Hail,BMW,1,Diesel,11,2700
26,9663.9,11026,162109,999,Front End,Volkswagen,Passat,Diesel,4,5900
1544,4641,9500,177240,1997,Front End,Peugeot,307,Petrol,12,1250
2625,3649.968,5308.5,169101,1198,Front End,Skoda,Fabia Ii,Petrol,11,1200
1283,4938.5,11135.2,134927,1798,Front End,Opel,Astra,Petrol,12,1350
2367,4199.986,3834.2,133308,1595,Front End,Volkswagen,Golf V,Petrol,13,1850
623,2499.952,2991.2,182177,1560,All Over,Citroen,Berlingo,Diesel,11,950
58,7021,15764.7,265933,1995,Rear End,BMW,3,Diesel,11,3400
1855,10000.046,3381,155155,1984,Front End,Volkswagen,Eos,Petrol,11,2850
959,9877,7532.9,58692,1198,Rear End,Skoda,Fabia,Petrol,2,4000
1807,3624.978,5452.9,93582,1364,Front End,Opel,Meriva,Petrol,7,2100
2425,7299.936,5139.1,108580,1197,Front End,Volkswagen,Golf VI,Petrol,8,2800
2185,4299.946,3216.5,130198,1364,Front End,Opel,Corsa D,Petrol,10,1700
2253,14800.03,15158.8,3676,1197,Front End,Volkswagen,Polo V,Petrol,1,6200
1120,3361.3,5928.5,158457,1398,Side,Opel,Corsa,Petrol,7,1850
2278,23562,18288.4,123706,1984,Front End,Audi,TT,Petrol,7,6900
