Vehicle_ID,Pre_Accident_Value,Cost_of_repair,odometer,engine_displacement,Damage_Type,make_nm,model_nm,fuel_type,Age
1542,12495,5157.6,47680,1498,Rear End,Mercedes-Benz,A,Petrol,5
551,2199.953,8403.4,246484,1910,Side,Opel,Astra H Caravan,Diesel,13
2709,5712,12605,126223,1598,Side,Opel,Astra,Petrol,11
2465,6500.018,7317.6,98818,1339,Front End,Honda,Civic,Petrol,9
2486,7249.956,7437.4,108898,1390,Front End,Volkswagen,Golf VI,Petrol,7
1207,3808,3032.4,171042,1390,Front End,Skoda,Fabia Combi,Petrol,11
1438,6902,12605,116236,1699,Front End,Mercedes-Benz,A,Petrol,9
159,16303,13967,73550,999,Rear End,Volkswagen,Golf,Diesel,3
1358,15232,11986.5,40563,1390,Side,Volkswagen,Passat,Petrol,6
1355,6069,6061.1,145590,1368,Rear End,FIAT,Bravo,Petrol,9
1081,4998,5926.2,76995,1229,Rear End,Opel,Corsa,Petrol,10
943,8925,4642,80941,999,Side,Volkswagen,Golf,Petrol,9
1375,3689,1830.5,93569,1390,Front End,Seat,Ibiza,Petrol,11
1958,5099.983,8067.2,90570,1229,Front End,Opel,Corsa D,Petrol,8
2240,6972.074,9711,117385,1198,Side,Volkswagen,Polo,Petrol,7
21,3109.2,1905,152409,999,Side,Opel,Vivaro,Diesel,10
1282,7021,8227.8,103489,1699,Front End,Mercedes-Benz,A,Petrol,11
338,8925,12000,155938,1995,Front End,BMW,1,Diesel,10
294,7333.0061,22689.1,143474,1968,All Over,Volkswagen,Golf,Diesel,6
1398,7378,7486.6,120153,2435,Front End,Volvo,V70,Petrol,12
376,12479,4550.9,24583,1598,Rear End,FIAT,Tipo,Diesel,1
3055,25585,6500,21018,1395,Hail,Skoda,Octavia,Petrol,1
2076,18697.5,8806.8,16709,1395,Front End,Volkswagen,Golf VII,Petrol,1
2652,3332,4287.7,163577,1998,Front End,Mercedes-Benz,C-Klasse,Petrol,17
1753,7249.956,8975.2,95353,1398,Front End,Opel,Meriva,Petrol,7
1050,13804,10342.4,42805,1197,Front End,Renault,Megane Iii,Petrol,3
2415,2618,2566.3,117506,1198,Front End,Volkswagen,Fox,Petrol,10
1801,8999.97,10812.8,74862,1390,Side,Volkswagen,Golf V,Petrol,10
1348,4998,7517.4,58387,1390,Rear End,Seat,Ibiza,Petrol,10
2394,7037.382333,11880.3,33448,998,Side,Hyundai,i10,Petrol,2
2289,17815.1,5527.8,18380,1399,Rear End,Opel,Astra,Petrol,0
1464,10710,9685.9,56025,1595,Front End,Volkswagen,Golf,Petrol,7
2038,9439.336842,4274.8,3346,998,Side,Ford,C-Max,Petrol,0
1190,4403,2785.9,104360,1390,Rear End,Skoda,Fabia Combi,Petrol,11
1228,6902,5497.9,66702,1598,Front End,Opel,Astra,Petrol,11
1123,5693.069846,8739.5,121895,1360,Front End,Peugeot,207,Petrol,9
450,8500.051,7581.3,74131,1598,Rear End,Volkswagen,Polo V,Diesel,6
743,3451,3634.4,245004,1896,Side,Audi,A3,Diesel,15
1007,6188,6645.7,183216,1596,Rear End,Ford,Focus,Petrol,7
750,7735,19690,126686,1992,All Over,Mercedes-Benz,B-Klasse,Diesel,11
2159,3808,4201.7,97031,998,Front End,Toyota,Yaris,Petrol,13
1704,2201.5,4084.9,191984,1984,Side,Seat,Altea,Petrol,12
2146,10900.043,10343.9,85826,1197,Front End,Audi,A3,Petrol,8
43,3570,8403.4,279065,1910,Front End,Opel,Vectra,Diesel,9
942,6664,3084,135609,999,Front End,Seat,Ibiza,Petrol,7
3,11250,21321,102768,999,Front End,Mini,Clubman,Diesel,5
2591,3200.029,3170,199122,998,Side,Toyota,Yaris,Petrol,10
28,4284,5500,170369,1997,Burn - Engine,Citroen,C5,Diesel,9
202,5890.5,2563.2,206720,1896,Side,Volkswagen,Golf,Diesel,10
765,18300,17000,27767,1956,Hail,Opel,Zafira,Diesel,1
1350,7675.5,9045.6,79694,1360,All Over,Citroen,C3,Petrol,6
1705,8231.37875,9762.9,90826,1390,Front End,Volkswagen,Golf,Petrol,6
2974,5799.941,4155.1,84439,1596,Side,Ford,Focus,Petrol,9
872,3570,7647.1,82619,1686,Front End,Opel,Astra,Diesel,14
1754,7400.015,6485.2,84577,1598,Front End,Dacia,Duster,Petrol,5
567,5882.4,9656,212423,1798,Front End,Mitsubishi,ASX,Diesel,7
861,4799.984,5456.6,192713,1995,Front End,BMW,3er,Diesel,8
2252,5799.941,5066.1,125183,1595,Side,Seat,Leon,Petrol,10
994,3451,4212.1,60923,1497,Side,Nissan,Almera,Petrol,12
170,13090,10181.8,21651,1422,Front End,Seat,Ibiza,Diesel,1
2822,5831,6191.1,61299,1388,Normal Wear,Ford,Fusion,Petrol,9
1574,4509.147339,13753.2,25474,1242,Front End,FIAT,Punto,Petrol,4
635,14285.7,16680.4,8993,1598,Front End,FIAT,Doblo Cargo/Pritsche,Diesel,1
1144,9877,11115.4,234785,2996,Rear End,Mercedes-Benz,C,Petrol,11
970,6961.5,6069,47070,1149,Side,Renault,Clio,Petrol,7
1644,3099.95,4424.3,188838,1997,Front End,Peugeot,307 CC,Petrol,13
2532,7050.036,6072.8,43421,1198,Front End,Skoda,Fabia,Petrol,8
1032,17493,15151.2,25404,1364,Side,Opel,Astra,Petrol,2
1055,2975,5030.3,167736,1364,Rear End,Opel,Combo,Petrol,11
1529,10472,8021.8,54959,1390,Front End,Seat,Ibiza,Petrol,5
893,2899.9705,7126.1,154272,1560,Front End,BMW,Mini,Diesel,10
250,6247.5,6311.6,162171,1560,Front End,Ford,Focus,Diesel,8
967,8500.051,163,123333,999,Normal Wear,Volkswagen,Touran,Petrol,10
403,10199.966,10218.4,100350,1560,Side,Ford,C-Max,Diesel,6
2246,7100.016,10773.6,77701,1598,Front End,Opel,Astra H GTC,Petrol,8
1737,2699.991,2400.2,195098,1997,Front End,Peugeot,307 CC,Petrol,12
758,4522,15000,148246,1560,Side,Mazda,3,Diesel,11
2194,32773.1,10247.4,5277,1984,Front End,Volkswagen,Tiguan,Petrol,0
98,18147.5,11978.4,49960,1598,Rear End,Toyota,Verso,Diesel,3
2093,6649.958,7602.6,95271,1197,Side,Skoda,Fabia,Petrol,8
2727,5500.061,7708.4,131695,1796,All Over,Opel,Astra,Petrol,9
2728,8900.01,7913.2,147876,1798,Rear End,Audi,A4,Petrol,10
1631,8562.9306,8600.5,36395,1242,Front End,Ford,Fiesta,Petrol,2
1999,4600.064,4045.2,151633,1598,Side,Seat,Ibiza,Petrol,8
360,21428.6,10219,6703,1968,Side,Skoda,Octavia,Diesel,1
2113,11500.041,7151.2,22710,998,Front End,Ford,Fiesta,Petrol,2
594,5399.982,7905.8,179356,2497,Front End,Kia,Sorento,Diesel,12
660,20549.991,18883.3,139586,2967,Front End,Audi,A6 Avant,Diesel,6
2736,6699.938,5125.2,54576,1198,Side,Seat,Ibiza SC,Petrol,5
2270,4849.964,10444,63259,1397,Side,Peugeot,207,Petrol,7
2279,4600.064,8700,55956,1124,Side,Mitsubishi,Colt,Petrol,7
1745,5099.983,6122.1,91765,1390,Front End,Volkswagen,Polo,Petrol,12
208,8823.5,17500,315546,2987,Side,Mercedes-Benz,E,Diesel,9
89,6899.977,6674,204978,999,Side,Volkswagen,Passat,Diesel,10
3003,3490.032,4914.1,129481,1198,Rear End,Volkswagen,Polo IV,Petrol,10
577,9500.008,5939.7,154172,2993,Undercarriage,BMW,3er  Touring,Diesel,11
3047,4284,3557.1,106721,1388,Front End,Mazda,2,Petrol,13
2524,10499.965,12690,65123,1364,Side,Opel,Astra,Petrol,6
1280,3212.0004,5751.8,111072,998,Side,Toyota,Aygo,Petrol,7
1294,8330,6971.4,67266,1390,Front End,Volkswagen,Golf,Petrol,8
775,7647.05,5280.2,7654,1560,Side,Peugeot,2008,Diesel,0
2314,5600.021,6673.2,107698,1796,Side,Mercedes-Benz,C,Petrol,15
1647,6500.018,5687.4,93593,1198,Front End,Volkswagen,Polo,Petrol,8
33,9817.5,4811,133683,999,Side,BMW,1,Diesel,10
973,2380,6142,115246,999,Front End,Chevrolet,Aveo,Petrol,7
818,3510.5,4030.4,161774,1896,Rear End,Skoda,Fabia,Diesel,11
3045,5600.021,5689.8,104113,1997,All Over,Renault,Laguna,Petrol,10
1297,14875,16806.7,118476,1984,Front End,Volkswagen,Golf,Petrol,8
1455,3867.5,4000.5,147868,998,Front End,Peugeot,107,Petrol,8
482,4799.984,6802.4,164531,1997,Side,Peugeot,407,Diesel,9
3059,4044.5125,6832.7,35245,1248,Front End,Hyundai,i20,Petrol,6
764,4899.944,5887.2,180012,1896,Front End,Volkswagen,Touran,Diesel,13
8,5831,8161.2,185210,1910,Rear End,Opel,Signum,Diesel,12
702,16911.75,16771.6,1416,1968,Front End,Audi,A4,Diesel,0
563,3739.5,7888.2,232101,2148,Side,Mercedes-Benz,E-Klasse,Diesel,14
2697,6200.019,5756,35607,1242,Side,Ford,Ka,Petrol,8
1354,5176.5,4946.1,126473,1587,Front End,Peugeot,206,Petrol,10
2928,1666,1402.5,227258,1368,Normal Wear,FIAT,Grande Punto,Petrol,9
2994,3899.987,4007.2,95231,1388,Front End,Ford,Fiesta,Petrol,10
1155,4641,5100,122078,1364,Front End,Opel,Meriva,Petrol,10
1356,10948,15861.5,131690,1798,Side,Audi,A3,Petrol,9
1947,3500.028,6395.5,157624,1490,Front End,Suzuki,Swift,Petrol,12
1664,8448.102091,5153.5,81579,1198,Side,Volkswagen,Polo,Petrol,5
180,12184.9,12831.7,120160,1995,Front End,BMW,X3,Diesel,9
2176,6349.959,9371.9,46810,998,Front End,Kia,Picanto,Petrol,5
1281,4500,5569.6,137134,1198,Rear End,Skoda,Fabia Combi,Petrol,8
343,6649.958,7060.5,140739,1582,Side,Hyundai,i30,Diesel,6
2706,3332,3789.4,98292,1108,Front End,FIAT,Panda,Petrol,9
282,23529.4,11450.5,21063,1685,Side,Hyundai,Tucson,Diesel,0
2760,8500.051,10554.1,6156,1598,Front End,Renault,Megane,Petrol,4
481,24159.7,28844,50423,1968,Front End,Volkswagen,Tiguan,Diesel,3
2079,3989.951,5341.4,93005,1332,Front End,Mitsubishi,Colt,Petrol,12
1820,6750.037,6716.1,140896,1599,Side,BMW,1,Petrol,10
1538,8925,4277.4,39143,1396,Rear End,Hyundai,i30,Petrol,7
2920,7973,15400,84932,1796,Rear End,Opel,Astra H Caravan,Petrol,11
2771,15232,11238.6,82561,1390,Rear End,Audi,A3,Petrol,7
462,20168.1,30251.7,13694,1598,All Over,Volkswagen,Golf,Diesel,1
2674,2337.16,1723.7,181566,1596,All Over,Ford,Focus Turnier,Petrol,16
2877,8092,14705.9,202506,2171,Front End,BMW,520,Petrol,13
1451,2380,1428.1,169459,1198,Rear End,Skoda,Fabia,Petrol,11
2125,5500.061,3901.1,46630,1397,Side,Peugeot,207,Petrol,9
2211,2860.998,9437.1,78896,1498,Front End,Mazda,2,Petrol,9
2500,9899.967,16117.6,111272,1390,Front End,Volkswagen,Touran,Petrol,9
2218,6200.019,5363.1,154129,1995,Side,BMW,3er,Petrol,12
754,2618,1653.7,136784,1422,Rear End,Volkswagen,Fox,Diesel,12
1243,10710,9241.1,58224,998,Front End,Ford,Fiesta,Petrol,4
2323,6500.018,3108.9,66784,1591,Front End,Kia,Pro Ceed,Petrol,9
1252,7973,20000,101468,999,Front End,Mini,Mini One,Petrol,9
2809,15708,11528.4,18821,1197,Side,Dacia,Dokker,Petrol,1
257,7861.88375,4216.6,160931,1991,Side,Mercedes-Benz,A,Diesel,7
2512,8149.953,11975.6,10995,999,Front End,Skoda,Citigo,Petrol,1
2667,7000.056,11472.1,162918,1984,Rear End,Volkswagen,Golf V,Petrol,12
3044,14399,14210.3,51552,1596,Front End,Ford,Focus,Petrol,6
1833,5500.061,6829.8,73620,1149,Front End,Renault,Twingo Ii,Petrol,6
855,7641.057143,7838.1,8152,1598,Rear End,Jeep,Renegade,Diesel,1
508,16120.44444,7311.5,341,1598,Side,Audi,A3,Diesel,0
2600,19399.975,11086.5,24632,1395,Rear End,Audi,A1 Sportback,Petrol,3
969,4495.765077,3688,222731,999,Side,Volkswagen,Golf,Petrol,10
456,9450.028,5890.9,89892,1598,Front End,Volkswagen,Golf VI,Diesel,7
2308,5714.3,7239.4,103056,1198,Side,Volkswagen,Polo V,Petrol,8
2775,8000.013,5525.9,12576,999,Rear End,Renault,Twingo,Petrol,1
1395,12852,23446,65711,1396,Rear End,Kia,Cee'd,Petrol,4
2187,5000.023,5077.1,113504,1598,Side,Peugeot,308,Petrol,10
500,23500.001,13831.8,64696,1968,Front End,Volkswagen,Sharan,Diesel,4
144,9663.9,9818.6,134824,2299,Front End,Renault,Master,Diesel,1
2820,3599.988,8300,82129,1198,Front End,Seat,Ibiza,Petrol,9
559,10000,6858.7,21840,1248,Front End,Opel,Corsa,Diesel,1
807,19117.7,13366.1,20685,1968,Rear End,Volkswagen,PASSAT Variant,Diesel,1
397,4499.985,3942.7,170799,1896,Front End,Seat,Ibiza,Diesel,8
704,2380,5306.9,241628,2958,Front End,Opel,Vectra,Diesel,14
2476,4950.043,6000,56005,1360,Front End,Peugeot,206 +,Petrol,8
1771,7799.974,7920.2,29934,1242,Front End,Opel,Agila,Petrol,7
1256,5712,4399.9,70872,1086,Rear End,Hyundai,i10,Petrol,5
31,20000,16563,78341,999,Front End,Mazda,Cx-5,Diesel,4
136,8231.37875,6578.8,218121,1598,Rear End,Volkswagen,Golf,Diesel,6
1723,4499.985,7294.8,77539,1198,Side,Skoda,Fabia,Petrol,8
2911,18400.018,14978.4,48485,1598,Front End,Mini,Countryman Cooper,Petrol,6
76,6247.5,4379.7,166336,1997,Side,Peugeot,307,Diesel,10
3031,4700.5,5889.8,101728,1242,Side,Ford,Fiesta,Petrol,10
732,8627.5,6402.6,197812,1598,Hail,Volkswagen,Golf VI,Diesel,7
2531,13000.036,14752.7,17799,1197,Front End,Seat,Ibiza,Petrol,2
2469,9044,10000,97395,1390,Hail,Seat,Leon,Petrol,7
3000,16481.5,14001.8,9657,1197,Front End,Skoda,Fabia Combi,Petrol,1
544,18900.056,18508.7,187743,2987,Front End,Mercedes-Benz,E,Diesel,7
3091,4760,8000,74026,1399,Hail,Chevrolet,Aveo,Petrol,9
1010,3689,7700,141098,1390,Rear End,Volkswagen,Fox,Petrol,11
2807,4284,4460.9,176378,1598,Front End,Mazda,3,Petrol,13
2797,4165,6445.8,118781,1364,Side,Opel,Astra,Petrol,12
432,4400.025,3231.1,281373,2497,Side,BMW,5,Diesel,14
2722,15946,19656.9,10423,1390,Front End,Volkswagen,Golf VI,Petrol,7
2953,4998,12000,108795,1388,Hail,Ford,Fiesta,Petrol,10
689,6699.938,16000,163747,1968,Front End,Volkswagen,PASSAT Variant 2.0 TDI,Diesel,10
178,6247.5,11719.3,117448,1968,Front End,Skoda,Octavia,Diesel,13
2534,3683.466667,10723.5,1803,1398,Side,Opel,Corsa,Petrol,0
3043,5449.962,7676.9,72363,1364,All Over,Opel,Astra,Petrol,9
1079,4641,5306.7,105119,998,Front End,Citroen,C1,Petrol,9
1982,4199.986,6400,135267,1364,Front End,Opel,Astra H Caravan,Petrol,9
2922,11000.003,11738.7,19338,1398,Front End,Opel,Corsa,Petrol,2
1369,6376.373394,12000,3305,1149,Front End,Renault,Clio Iv,Petrol,0
299,14399,16263.1,163036,1968,Front End,Audi,A3,Diesel,5
181,12376,8945.6,144972,1995,Side,BMW,3,Diesel,6
1064,4879,2655,104245,1360,Front End,Peugeot,207,Petrol,10
668,9663.9,14952.7,236249,2993,Rear End,BMW,3er Coupe,Diesel,9
1897,21218.5,13597.7,2564,1197,Front End,Seat,Leon,Petrol,0
1011,4564.81025,5824,124473,999,Front End,Skoda,Fabia,Petrol,7
746,7400.015,6525.2,184251,1968,Side,Volkswagen,Passat Variant,Diesel,11
238,27731.1,10202.3,1901,1956,All Over,Opel,Lnsignia,Diesel,0
1517,8984.5,6046.3,68593,1229,Side,Opel,Corsa,Petrol,5
148,3569.616667,6708.1,169481,1968,Front End,Volkswagen,Passat,Diesel,11
2321,8300.012,8603.3,31959,998,Front End,Hyundai,i10,Petrol,2
792,8925,9679.4,197458,2497,Side,BMW,5,Diesel,11
2816,4226.569565,5258.8,118123,1229,Side,Opel,Corsa,Petrol,10
1900,5149.963,4833.7,123935,1596,Side,Ford,Focus,Petrol,8
2298,5493.833333,7021.6,70306,875,Front End,FIAT,500,Petrol,7
3063,3150.049,6320.9,108896,1240,Front End,Nissan,Micra,Petrol,11
207,21777,18553.5,33313,1598,Side,Audi,A1,Diesel,1
2842,5474,5861.4,40698,1332,Side,Mitsubishi,Colt,Petrol,10
961,6200.019,4259,84077,999,Rear End,Ford,Fiesta,Petrol,7
1794,14747.9,10593,16559,1598,Side,FIAT,Tipo,Petrol,1
1110,4760,6178.8,120178,1587,Side,Citroen,C4,Petrol,10
1453,4165,5869.8,132583,1998,Rear End,Renault,Megane,Petrol,13
1914,5355,4360.2,102767,1386,Rear End,Nissan,Note,Petrol,8
1974,6450.038,6144.9,44903,1364,Side,Opel,Corsa,Petrol,9
2773,6200.019,4688.9,83956,2261,Side,Ford,Maverick,Petrol,12
354,23214.3,13493.1,9089,1598,Rear End,Volkswagen,Golf,Diesel,0
2936,6200.019,7272,152952,1596,Side,BMW,1er,Petrol,11
1678,4499.985,5981.6,126425,1798,Front End,Ford,Focus Turnier,Petrol,11
2172,11500.041,10914.7,75800,2034,Front End,Mercedes-Benz,B-Klasse,Petrol,9
1504,5831,6397.8,142808,1598,Front End,Opel,Zafira,Petrol,10
2934,4799.984,4669.6,75469,1360,Front End,Peugeot,207,Petrol,7
2282,5500.061,7319.8,94912,1364,Side,Opel,Corsa D,Petrol,9
2943,4998,3644.2,120140,1490,Side,Suzuki,Swift Lim.,Petrol,11
677,8568,9800,187721,1968,Front End,Audi,A3,Diesel,11
1425,4585.441875,3113.8,170584,1396,Front End,Hyundai,i30,Petrol,8
1420,6723.5,4894,129861,1798,Front End,Ford,C-Max,Petrol,10
152,2975,4564.1,248291,1896,Rear End,Volkswagen,Golf,Diesel,14
75,13090,15600,144106,2184,Front End,Mazda,6,Diesel,8
1179,8092,10962.2,57895,1368,Side,FIAT,Punto,Petrol,6
165,6247.5,8528.4,153683,1968,Hail,Volkswagen,Passat,Diesel,12
455,5999.98,12900,179334,1896,Side,Audi,A3 Sportback,Diesel,13
2380,13499.955,18500,10927,1364,Front End,Opel,Meriva B,Petrol,4
2487,10115,13500,14429,999,Hail,Opel,Karl,Petrol,3
468,10250.065,13224.4,163339,1598,Front End,Skoda,Superb,Diesel,7
1865,6500.018,7232,148774,1699,Side,Mercedes-Benz,A,Petrol,9
3081,16481.5,20000,1101,999,Hail,Nissan,Micra,Petrol,0
23,10948,10095.2,182876,1968,Front End,Volkswagen,Passat,Diesel,9
797,14399.952,35000,118298,1796,Undercarriage,Mercedes-Benz,B-Klasse,Diesel,5
1809,6500.018,8108.2,109353,1598,Side,Opel,Astra,Petrol,9
1026,3689,6214.3,220461,1390,Front End,Volkswagen,Golf,Petrol,12
823,11344.5,2972.2,21731,1968,Side,Volkswagen,Passat,Diesel,1
1684,4641,5368.6,93965,1598,Front End,Mercedes-Benz,A,Petrol,15
2075,3099.95,4794.1,114697,1149,Front End,Dacia,Sandero,Petrol,8
147,16065,12157.6,59493,1995,Side,Renault,Scenic Iii,Diesel,4
1477,9401,7843.9,107695,1598,Side,Opel,Zafira,Petrol,9
1376,4760,3904.6,71442,998,Front End,Peugeot,107,Petrol,9
2900,6895.178947,11421.4,17020,1399,Front End,Opel,Astra,Petrol,0
2453,17500.021,8055.6,53615,1598,Front End,BMW,Mini,Petrol,7
1944,5999.98,6557.8,115909,1796,Front End,Opel,Astra,Petrol,11
2561,4299.946,7479,71646,998,Side,Citroen,C1,Petrol,8
2287,5799.941,8012.2,31896,1242,Front End,Ford,Ka,Petrol,4
2041,3899.987,5022.8,140868,1198,Front End,Skoda,Roomster,Petrol,11
1834,5300.022,10108.2,107050,1339,Side,Honda,Civic,Petrol,12
2331,5799.941,6308.9,133132,1198,Side,Skoda,Fabia,Petrol,6
145,7900,15404,214636,999,Side,Volkswagen,Passat,Diesel,6
2622,6249.999,11656.3,113473,1598,Front End,Mazda,3,Petrol,9
172,7140,5602.2,220870,1968,Side,Volkswagen,Passat,Diesel,8
1945,10600.044,9290.8,7101,1198,Front End,Ford,KA Plus,Petrol,1
952,8925,4481.9,124674,1586,Front End,Suzuki,Sx4,Petrol,8
1749,13000.036,15150.3,31584,1197,Front End,Audi,A1,Petrol,7
1950,7199.976,9997.5,80589,1596,Front End,BMW,1,Petrol,12
923,3600.027667,6273.5,128410,1248,Side,FIAT,Punto,Diesel,6
2040,13900.033,13999.7,43674,1197,Rear End,Volkswagen,Polo,Petrol,2
413,8200.052,11624.9,98366,1896,Front End,Audi,A3,Diesel,10
518,7499.975,7780.7,168031,1995,Front End,BMW,3er,Diesel,11
514,10250.065,10425.5,154674,1995,Front End,BMW,3er,Diesel,9
3093,5500.061,7609.7,90069,1498,Front End,Mercedes-Benz,A,Petrol,8
585,5449.962,9114.2,108881,1991,Rear End,Mercedes-Benz,A,Diesel,9
1213,5771.5,10000,36284,998,Front End,Citroen,C1,Petrol,8
1582,7499.975,9046.5,19010,1242,Front End,FIAT,Panda,Petrol,2
3041,13109.2,11945.7,14150,999,All Over,Volkswagen,Polo,Petrol,0
